Symbol,Company Name,Industry,Market Cap
ADP,Automatic Data Processing,IT Services,1.0294E+11
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1670899641
ADRA,Adara Acquisition,Blank Check / SPAC,142887480
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,144612500
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,351416858
ADSK,Autodesk,Software,47986690827
ADT,ADT Inc.,Commercial Services & Supplies,7423979953
ADTH,AdTheorent Holding Company,Advertising Agencies,280382880
ADTN,ADTRAN Holdings,Communications Equipment,1829315488
ADTX,Aditx,Biotechnology,9141355
ADUS,Addus HomeCare,Health Care Providers & Services,1500774305
ADV,Advantage Solutions,Advertising Agencies,1385079036
ADVM,Adverum Biotechnologies,Biotechnology,150624850
ADXN,Addex Therapeutics,Biotechnology,10921364
ADXS,Advaxis,Biotechnology,6462704
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",149861619
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,297156000
AEAE,AltEnergy Acquisition,Blank Check / SPAC,287500010
AEE,Ameren,Multi-Utilities,23676834913
AEG,Aegon,Insurance,9061831676
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,134762750
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,7387860
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,399668951
AEI,Alset EHome International,Real Estate-Development,54947592
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3509916491
AEL,American Equity Investment Life Holding Company,Insurance,3385631830
AEM,Agnico Eagle Mines,Metals & Mining,20682693326
AEMD,Aethlon Medical,Health Care Equipment & Supplies,25039738
AENZ,Aenza,Engineering & Construction,258547695
AEO,American Eagle Outfitters,Specialty Retail,2135312184
AEP,American Electric Power Company,Electric Utilities,51250106633
AER,AerCap Holdings,Trading Companies & Distributors,11192858969
AERC,AeroClean Technologies,Pollution & Treatment Controls,71188651
AERI,Aerie Pharmaceuticals,Pharmaceuticals,498534969
AES,The AES Corporation,Independent Power and Renewable Elect...,16087190943
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",60631191
AEVA,Aeva Technologies,Auto Parts,969745933
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",18507860
AEYE,AudioEye,Software,73536640
AEZS,AEterna Zentaris,Biotechnology,23657842
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,216918750
AFAQ,AF Acquisition,Blank Check / SPAC,274680000
AFAR,Aura FAT Projects Acquisition,Blank Check / SPAC,144320390
AFBI,Affinity Bancshares,Banks,98855400
AFCG,AFC Gamma,REIT-Specialty,351818478
AFG,American Financial Group,Insurance,10932863615
AFIB,Acutus Medical,Medical Devices,44204628
AFL,Aflac,Insurance,37829655111
AFMD,Affimed,Biotechnology,489019734
AFRI,Forafric Global,Farm Products,240717490
AFRM,Affirm Holdings,IT Services,10033643145
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,304062470
AFYA,Afya Limited,Diversified Consumer Services,1053108022
AG,First Majestic Silver,Metals & Mining,2225668657
AGAC,African Gold Acquisition,Blank Check / SPAC,509737500
AGBA,AGBA Acquisition,Blank Check / SPAC,53893271
AGCB,Altimeter Growth 2,Blank Check / SPAC,578070519
AGCO,AGCO Corporation,Machinery,7963130325
AGE,AgeX Therapeutics,Biotechnology,26484282
AGEN,Agenus,Biotechnology,718461882
AGFS,AgroFresh Solutions,Chemicals,99300163
